Date,Name,Year,Letterboxd URI,Rating
2021-05-27,Parasite,2019,https://boxd.it/hTha,5
2021-05-27,Get Out,2017,https://boxd.it/eOCm,5
2021-05-27,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,5
2021-05-27,La La Land,2016,https://boxd.it/a5fa,5
2021-05-27,Monster House,2006,https://boxd.it/1Z2e,1
2021-05-27,Titanic,1997,https://boxd.it/2a2k,5
2021-05-27,Isle of Dogs,2018,https://boxd.it/dZrW,5
2021-05-27,Amanda Knox,2016,https://boxd.it/etNS,3
2021-05-27,Soul,2020,https://boxd.it/ioLA,5
2021-05-27,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,5
2021-05-27,"Crazy, Stupid, Love.",2011,https://boxd.it/D9A,3
2021-05-27,Toy Story,1995,https://boxd.it/29qA,4
2021-05-27,Se7en,1995,https://boxd.it/29zs,4
2021-05-27,John Mulaney: New in Town,2012,https://boxd.it/359M,5
2021-05-27,The Invitation,2015,https://boxd.it/9OUU,2
2021-05-27,13th,2016,https://boxd.it/elNg,4
2021-05-27,Roma,2018,https://boxd.it/f69M,4
2021-05-27,Maineland,2017,https://boxd.it/fzrU,3
2021-05-27,Mike Birbiglia: Thank God for Jokes,2017,https://boxd.it/fIOo,0.5
2021-05-27,Hannah Gadsby: Nanette,2018,https://boxd.it/jfyE,5
2021-05-27,To All the Boys: P.S. I Still Love You,2020,https://boxd.it/kJny,4
2021-05-27,Daniel Sloss: X,2019,https://boxd.it/nEGQ,5
2021-05-27,Hannah Gadsby: Douglas,2020,https://boxd.it/nHni,0.5
2021-05-27,Taylor Tomlinson: Quarter-Life Crisis,2020,https://boxd.it/p17c,4
2021-05-27,21,2008,https://boxd.it/20BO,3
2021-05-27,The Babadook,2014,https://boxd.it/77xu,4
2021-05-27,Nerve,2016,https://boxd.it/aJIc,4
2021-05-27,John Mulaney: The Comeback Kid,2015,https://boxd.it/cK4w,5
2021-05-27,The Edge of Seventeen,2016,https://boxd.it/d5nu,4
2021-05-27,Split,2016,https://boxd.it/dgSy,4
2021-05-27,Lady Bird,2017,https://boxd.it/dGNE,5
2021-05-27,Hasan Minhaj: Homecoming King,2017,https://boxd.it/gn6M,5
2021-05-27,It Chapter Two,2019,https://boxd.it/h10u,4
2021-05-27,Adam Devine: Best Time of Our Lives,2019,https://boxd.it/mwsa,3
2021-05-27,Iliza Shlesinger: Unveiled,2019,https://boxd.it/nRvw,0.5
2021-05-27,Ronny Chieng: Asian Comedian Destroys America!,2019,https://boxd.it/o8SC,4
2021-05-27,John Mulaney & The Sack Lunch Bunch,2019,https://boxd.it/o9Fu,0.5
2021-05-27,The 40 Year Old Virgin,2005,https://boxd.it/21hK,3
2021-05-27,Room,2015,https://boxd.it/7T0y,5
2021-05-27,Chelsea Peretti: One of the Greats,2014,https://boxd.it/921C,0.5
2021-05-27,Swiss Army Man,2016,https://boxd.it/bDG2,4
2021-05-27,"I, Tonya",2017,https://boxd.it/dzR0,4
2021-05-27,Eighth Grade,2018,https://boxd.it/hDMG,5
2021-05-27,James Acaster: Repertoire,2018,https://boxd.it/iFXy,0.5
2021-05-27,Black Mirror: Bandersnatch,2018,https://boxd.it/kTDG,5
2021-05-27,"Ken Jeong: You Complete Me, Ho",2019,https://boxd.it/l4D8,3
2021-05-27,Jimmy Carr: The Best of Ultimate Gold Greatest Hits,2019,https://boxd.it/lCTE,0.5
2021-05-27,Kevin Hart: Irresponsible,2019,https://boxd.it/lO3K,0.5
2021-05-27,Twilight,2008,https://boxd.it/1Zui,3
2021-05-27,Guardians of the Galaxy,2014,https://boxd.it/3VH2,4
2021-05-27,Bo Burnham: What.,2013,https://boxd.it/7au4,5
2021-05-27,Now You See Me 2,2016,https://boxd.it/99fw,4
2021-05-27,Neighbors 2: Sorority Rising,2016,https://boxd.it/aA80,2
2021-05-27,Arrival,2016,https://boxd.it/aNGk,3
2021-05-27,Going in Style,2017,https://boxd.it/bSKS,3
2021-05-27,Bo Burnham: Make Happy,2016,https://boxd.it/e436,5
2021-05-27,Crazy Rich Asians,2018,https://boxd.it/gfnK,4
2021-05-27,Russell Howard: Recalibrate,2017,https://boxd.it/hJPm,3
2021-05-27,Flavors of Youth,2018,https://boxd.it/iAAa,3
2021-05-27,Ellen DeGeneres: Relatable,2018,https://boxd.it/jul6,2
2021-05-27,Aggretsuko: We Wish You a Metal Christmas,2018,https://boxd.it/nS7q,3
2021-05-27,21 Jump Street,2012,https://boxd.it/J0,4
2021-05-27,Kevin Hart: Seriously Funny,2010,https://boxd.it/XvQ,0.5
2021-05-27,Superbad,2007,https://boxd.it/20hO,4
2021-05-27,22 Jump Street,2014,https://boxd.it/5Fvy,4
2021-05-27,Iliza Shlesinger: War Paint,2013,https://boxd.it/6xie,0.5
2021-05-27,How to Be Single,2016,https://boxd.it/7GJq,2
2021-05-27,Incredibles 2,2018,https://boxd.it/7IPg,4
2021-05-27,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,4
2021-05-27,Central Intelligence,2016,https://boxd.it/9DFE,2
2021-05-27,Mike and Dave Need Wedding Dates,2016,https://boxd.it/aciK,3
2021-05-27,Iliza Shlesinger: Freezing Hot,2015,https://boxd.it/apgs,0.5
2021-05-27,Coco,2017,https://boxd.it/bYJQ,5
2021-05-27,The Disaster Artist,2017,https://boxd.it/cTqc,4
2021-05-27,Ali Wong: Baby Cobra,2016,https://boxd.it/dScq,0.5
2021-05-27,The Shape of Water,2017,https://boxd.it/dZ5m,4
2021-05-27,Iliza Shlesinger: Confirmed Kills,2016,https://boxd.it/eIF0,0.5
2021-05-27,Icarus,2017,https://boxd.it/fmje,4
2021-05-27,Alex Strangelove,2018,https://boxd.it/iwqA,3
2021-05-27,Ali Wong: Hard Knock Wife,2018,https://boxd.it/iMFG,0.5
2021-05-27,Iliza Shlesinger: Elder Millennial,2018,https://boxd.it/jujY,0.5
2021-05-27,Easy A,2010,https://boxd.it/17DK,5
2021-05-27,Inception,2010,https://boxd.it/1skk,4
2021-05-27,Roman Holiday,1953,https://boxd.it/29zW,4
2021-05-27,Catch Me If You Can,2002,https://boxd.it/29VS,4
2021-05-27,To Kill a Mockingbird,1962,https://boxd.it/2a2E,4
2021-05-27,The Maze Runner,2014,https://boxd.it/5YPM,4
2021-05-27,Pitch Perfect 2,2015,https://boxd.it/7tNa,3
2021-05-27,The Theory of Everything,2014,https://boxd.it/7YtA,4
2021-05-27,Deadpool,2016,https://boxd.it/9fOC,4
2021-05-27,Ingrid Goes West,2017,https://boxd.it/evUQ,4
2021-05-27,Friends with Benefits,2011,https://boxd.it/DoK,2
2021-05-27,The Truman Show,1998,https://boxd.it/18U8,4
2021-05-27,Mean Girls,2004,https://boxd.it/1VNg,4
2021-05-27,The Breakfast Club,1985,https://boxd.it/27q4,4
2021-05-27,The Prestige,2006,https://boxd.it/293w,4
2021-05-27,Good Will Hunting,1997,https://boxd.it/2ahY,4
2021-05-27,The Terminator,1984,https://boxd.it/2aQY,4
2021-05-27,12 Years a Slave,2013,https://boxd.it/2D2e,4
2021-05-27,Finding Dory,2016,https://boxd.it/4aAA,4
2021-05-27,The Hunger Games: Mockingjay - Part 1,2014,https://boxd.it/4hka,3
2021-05-27,Neighbors,2014,https://boxd.it/5Txe,2
2021-05-27,Whiplash,2014,https://boxd.it/7bQA,4
2021-05-27,Ex Machina,2014,https://boxd.it/7T2k,5
2021-05-27,Still Alice,2014,https://boxd.it/8Nhq,3
2021-05-27,Dirty Grandpa,2016,https://boxd.it/99pG,2
2021-05-27,Maze Runner: The Scorch Trials,2015,https://boxd.it/9hwA,4
2021-05-27,Bridge of Spies,2015,https://boxd.it/9n9C,4
2021-05-27,Me and Earl and the Dying Girl,2015,https://boxd.it/9SAE,4
2021-05-27,Everything Before Us,2015,https://boxd.it/brZ2,3
2021-05-27,Moonlight,2016,https://boxd.it/d6bE,4
2021-05-27,Forrest Gump,1994,https://boxd.it/728,4
2021-05-27,Lemony Snicket's A Series of Unfortunate Events,2004,https://boxd.it/1T7s,4
2021-05-27,"Monsters, Inc.",2001,https://boxd.it/2a46,5
2021-05-27,Life of Pi,2012,https://boxd.it/37pC,0.5
2021-05-27,The Good Dinosaur,2015,https://boxd.it/3AD4,4
2021-05-27,The Imitation Game,2014,https://boxd.it/6aig,4
2021-05-27,Spy,2015,https://boxd.it/71Ks,3
2021-05-27,Boychoir,2014,https://boxd.it/8SUC,4
2021-05-27,Howl's Moving Castle,2004,https://boxd.it/23De,5
2021-05-27,10 Things I Hate About You,1999,https://boxd.it/23AO,4
2021-05-30,Legally Blonde,2001,https://boxd.it/1ZNa,3.5
2021-05-30,The Notebook,2004,https://boxd.it/1UNE,4.5
2021-05-30,The Greatest Showman,2017,https://boxd.it/acjI,3.5
2021-05-30,"Oh, Hello on Broadway",2017,https://boxd.it/gtmG,3.5
2021-05-30,Hot Summer Nights,2017,https://boxd.it/bFIE,3.5
2021-05-30,Romeo + Juliet,1996,https://boxd.it/2ama,4.5
2021-05-31,Bo Burnham: Inside,2021,https://boxd.it/v2uy,5
2021-06-01,To All the Boys: Always and Forever,2021,https://boxd.it/mI1A,2
2021-06-01,Death to 2020,2020,https://boxd.it/t4EQ,2.5
2021-06-01,Pulp Fiction,1994,https://boxd.it/29Pq,4.5
2021-06-01,The Great Gatsby,2013,https://boxd.it/JY,4
2021-06-01,Tangled,2010,https://boxd.it/15gO,4
2021-06-01,Zootopia,2016,https://boxd.it/84xS,4
2021-06-01,The Social Dilemma,2020,https://boxd.it/opQI,4.5
2021-06-01,Minimalism: A Documentary About the Important Things,2015,https://boxd.it/dIIQ,2.5
2021-06-01,American Murder: The Family Next Door,2020,https://boxd.it/rUk0,2
2021-06-01,Ben Platt: Live from Radio City Music Hall,2020,https://boxd.it/q8Nw,4
2021-06-01,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ,4
2021-06-01,Marriage Story,2019,https://boxd.it/hJAw,4.5
2021-06-01,Manchester by the Sea,2016,https://boxd.it/b2L0,2
2021-06-01,Les Misérables,2012,https://boxd.it/2TT4,4.5
2021-06-01,Sergio,2020,https://boxd.it/oiQ2,3
2021-06-01,Molly's Game,2017,https://boxd.it/dSl8,4
2021-06-01,Kill Bill: Vol. 1,2003,https://boxd.it/70w,4.5
2021-06-01,Annihilation,2018,https://boxd.it/9yzm,4.5
2021-06-01,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,4
2021-06-01,You've Got Mail,1998,https://boxd.it/1Yye,2
2021-06-01,Pitch Perfect 3,2017,https://boxd.it/bUre,1
2021-06-01,Don't Breathe,2016,https://boxd.it/9yzw,4
2021-06-01,Hush,2016,https://boxd.it/d5ys,3
2021-06-01,A Quiet Place,2018,https://boxd.it/fVJQ,5
2021-06-01,It,2017,https://boxd.it/bC8e,4.5
2021-06-01,The SpongeBob SquarePants Movie,2004,https://boxd.it/1SYq,4
2021-06-01,Baby Driver,2017,https://boxd.it/bhF2,3.5
2021-06-01,Status Update,2018,https://boxd.it/eHxk,0.5
2021-06-01,Christopher Robin,2018,https://boxd.it/eSj4,2.5
2021-06-01,Secret Obsession,2019,https://boxd.it/mCpG,1.5
2021-06-01,"Love, Simon",2018,https://boxd.it/g02s,2.5
2021-06-01,Ralph Breaks the Internet,2018,https://boxd.it/edAy,3.5
2021-06-01,Always Be My Maybe,2019,https://boxd.it/iB2y,3.5
2021-06-01,"Extremely Wicked, Shockingly Evil and Vile",2019,https://boxd.it/glCG,3
2021-06-01,An Inconvenient Sequel: Truth to Power,2017,https://boxd.it/fliY,2
2021-06-01,Schindler's List,1993,https://boxd.it/2aq2,4.5
2021-06-01,The American Meme,2018,https://boxd.it/iSNG,2
2021-06-01,Fyre,2019,https://boxd.it/kP0g,2.5
2021-06-01,Amy Schumer: Growing,2019,https://boxd.it/lp8q,1.5
2021-06-01,Love Actually,2003,https://boxd.it/2aeU,4
2021-06-01,What If,2013,https://boxd.it/6ljk,2
2021-06-01,The Hitman's Bodyguard,2017,https://boxd.it/dCmO,2.5
2021-06-01,Like Father,2018,https://boxd.it/iN76,2.5
2021-06-01,The Ugly Truth,2009,https://boxd.it/1CFi,2
2021-06-01,mother!,2017,https://boxd.it/dgRU,3.5
2021-06-01,How the Grinch Stole Christmas,2000,https://boxd.it/1ZHQ,3.5
2021-06-01,The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw,4
2021-06-01,An Inconvenient Truth,2006,https://boxd.it/289y,3
2021-06-01,The Little Prince,2015,https://boxd.it/9WbS,3
2021-06-01,We're the Millers,2013,https://boxd.it/4srQ,4.5
2021-06-01,Sierra Burgess Is a Loser,2018,https://boxd.it/gyP4,1.5
2021-06-01,John Mulaney: Kid Gorgeous at Radio City,2018,https://boxd.it/iTts,5
2021-06-01,To All the Boys I've Loved Before,2018,https://boxd.it/gHec,4
2021-06-01,Me Before You,2016,https://boxd.it/9n98,4.5
2021-06-01,Popstar: Never Stop Never Stopping,2016,https://boxd.it/blDa,1
2021-06-01,Table 19,2017,https://boxd.it/bUlK,3.5
2021-06-01,17 Again,2009,https://boxd.it/1Jnq,1.5
2021-06-01,Set It Up,2018,https://boxd.it/dpik,3.5
2021-06-01,Home Alone,1990,https://boxd.it/29Fg,3.5
2021-06-01,Mrs. Doubtfire,1993,https://boxd.it/29Cw,3.5
2021-06-01,Sixteen Candles,1984,https://boxd.it/1MJk,2.5
2021-06-01,Maze Runner: The Death Cure,2018,https://boxd.it/bakw,4.5
2021-06-01,When We First Met,2018,https://boxd.it/fn3G,0.5
2021-06-01,The Social Network,2010,https://boxd.it/17ue,4.5
2021-06-01,The Big Sick,2017,https://boxd.it/eHvy,4.5
2021-06-01,Rain Man,1988,https://boxd.it/2avw,3.5
2021-06-01,The Kissing Booth,2018,https://boxd.it/geR0,0.5
2021-06-01,The Incredibles,2004,https://boxd.it/1XLm,4.5
2021-06-01,Sing,2016,https://boxd.it/b5EQ,2
2021-06-01,WALL·E,2008,https://boxd.it/1VEo,4.5
2021-06-01,The Shawshank Redemption,1994,https://boxd.it/2aHi,4.5
2021-06-01,The Babysitter,2017,https://boxd.it/eP1w,0.5
2021-06-01,Breakfast at Tiffany's,1961,https://boxd.it/2aYS,3.5
2021-06-01,Dangal,2016,https://boxd.it/chfU,4.5
2021-06-01,Frozen,2013,https://boxd.it/3GNa,4.5
2021-06-01,Pitch Perfect,2012,https://boxd.it/3OsE,4
2021-06-01,The Hunger Games,2012,https://boxd.it/2uds,4.5
2021-06-01,Enchanted,2007,https://boxd.it/24co,3.5
2021-06-01,Oz the Great and Powerful,2013,https://boxd.it/2cAI,2
2021-06-01,Smosh: The Movie,2015,https://boxd.it/9ZQ0,1
2021-06-01,The SpongeBob Movie: Sponge Out of Water,2015,https://boxd.it/6JxU,2
2021-06-01,Inside Out,2015,https://boxd.it/4KHC,4.5
2021-06-01,Cinderella,2015,https://boxd.it/4KX6,3
2021-06-01,Paul Blart: Mall Cop,2009,https://boxd.it/1NQw,1.5
2021-06-01,The Secret Life of Pets,2016,https://boxd.it/aJ5E,2.5
2021-06-01,Holes,2003,https://boxd.it/20mE,2.5
2021-06-01,The Hunger Games: Mockingjay - Part 2,2015,https://boxd.it/4hk0,3.5
2021-06-01,That Awkward Moment,2014,https://boxd.it/6Ftu,2
2021-06-01,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG,2.5
2021-06-01,Death Note,2017,https://boxd.it/bOS4,1.5
2021-06-01,Now You See Me,2013,https://boxd.it/2Bsu,4.5
2021-06-01,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,4.5
2021-06-01,The Big Short,2015,https://boxd.it/ajZw,2.5
2021-06-05,Promising Young Woman,2020,https://boxd.it/loRE,4.5
2021-06-21,It's Such a Beautiful Day,2012,https://boxd.it/hCY2,5
2021-07-14,Zodiac,2007,https://boxd.it/27MO,4
2021-07-14,Booksmart,2019,https://boxd.it/igNS,4.5
2021-07-29,Luca,2021,https://boxd.it/ipjC,4.5
2021-07-31,Ocean's Eleven,2001,https://boxd.it/2aZm,4
2021-08-01,Suicide Squad,2016,https://boxd.it/9row,1.5
2021-08-01,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO,4
2021-08-01,A Quiet Place Part II,2020,https://boxd.it/iTx0,3
2021-08-08,The Suicide Squad,2021,https://boxd.it/fw6O,4
2021-08-11,Kiki's Delivery Service,1989,https://boxd.it/1JAY,4.5
2021-08-12,Venom,2018,https://boxd.it/b8wA,3
2021-09-19,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,4.5
2021-09-29,Dear Evan Hansen,2021,https://boxd.it/kOP8,2
2021-11-10,In the Heights,2021,https://boxd.it/gLhu,3.5
